SMILES,pCHEMBL,Molecular Weight,logP,Data
Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,6.4,282.73,3.44,Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1
CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.18,446.43,3.52,CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1
CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,8.7,411.54,3.16,CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5
O=C(NC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)c1ccccn1,6.65,447.54,2.15,O=C(NC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)c1ccccn1
CN(C(=O)Cc1ccc(CCNS(C)(=O)=O)cc1)C(CN1CCC(O)C1)c1ccccc1,8.55,459.61,1.59,CN(C(=O)Cc1ccc(CCNS(C)(=O)=O)cc1)C(CN1CCC(O)C1)c1ccccc1
O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2C1CN1CCCC1,7.82,393.31,4.35,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2C1CN1CCCC1
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,7.94,499.53,-0.16,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O
Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C(F)(F)F)n1,8.46,331.3,3.51,Cc1cc(-c2nnc(N)nc2-c2ccccc2)cc(C(F)(F)F)n1
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)O,8.51,2148.51,,CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)O
CCNC(=O)[C@H]1O[C@@H](N2CNc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,6.89,501.54,-0.50,CCNC(=O)[C@H]1O[C@@H](N2CNc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O
